appid,wikidata_name,esrb_rating,hltb_id,igdb_id,metacritic_id,opencritic_id,game_engine
575950,Blood Feed,,,blood-feed,,,
688910,CUBE-C: VR Game Collection,,,cube-c-vr-game-collection,,,
594490,Deadly Hunter VR,,,deadly-hunter-vr,,,
391000,Farm Frenzy Collection,,,farm-frenzy-collection,,,
490820,Fly O'Clock,,,fly-oclock,,,
516610,Guardian war VR,,,guardian-war-vr,,,
576940,Hunt For Gods,,,hunt-for-gods,,,
543270,Mr. Shadow,,,mr-shadow,,,
648880,Guano Gladiators,,,guano-gladiators,,,
369180,SoulCraft,,,soulcraft,,,
613800,Space Epic Untitled - Season 1,,,space-epic-untitled-season-1,,,
670510,ColorBlend FX: Desaturation,,,colorblend-fx-desaturation,,,
2706460,Hydroplane: Riptide Racers,,,hydroplane-riptide-racers,,,
2450870,Main Action,,,main-action,,,
1572960,Train 113,,,train-113,,,
542170,Edmersiv,,,,,,
1307110,Snow Blower - Idle Game,,,snow-blower-idle-game,,,
1535170,Mobile Mechanic: Road Service,,,emergency-road-services-simulator,,,
1597600,InkBrush: The Demon Wars,,,inkbrush-the-demon-wars,,,
